"geo_type";"geo_area_id";"geo_area_name";"borough_id";"time_period";"BLL_greater_5";"BLL_greater_5_note";"BLL_greater_10";"BLL_greater_10_note";"BLL_greater_15";"BLL_greater_15_note";"num_tested";"rate_greater_5";"rate_greater_10";"rate_greater_15"
"Borough";"1";"Bronx";"1";"2005";"8245";"0";"595";"0";"167";"0";"64500";"127.7";"9.2";"2.6"
"Borough";"1";"Bronx";"1";"2006";"7272";"0";"474";"0";"144";"0";"67200";"108.2";"7.1";"2.1"
"Borough";"1";"Bronx";"1";"2007";"6174";"0";"438";"0";"135";"0";"68300";"90.4";"6.4";"2"
"Borough";"1";"Bronx";"1";"2008";"4254";"0";"292";"0";"105";"0";"69800";"60.9";"4.2";"1.5"
"Borough";"1";"Bronx";"1";"2009";"2742";"0";"278";"0";"103";"0";"70000";"39.2";"4";"1.5"
"Borough";"1";"Bronx";"1";"2010";"2625";"0";"290";"0";"101";"0";"70100";"37.5";"4.1";"1.4"
"Borough";"1";"Bronx";"1";"2011";"1996";"0";"231";"0";"75";"0";"70100";"28.5";"3.3";"1.1"
"Borough";"1";"Bronx";"1";"2012";"1396";"0";"184";"0";"81";"0";"66800";"20.9";"2.8";"1.2"
"Borough";"1";"Bronx";"1";"2013";"1312";"0";"193";"0";"74";"0";"65300";"20.1";"3";"1.1"
"Borough";"1";"Bronx";"1";"2014";"1186";"0";"177";"0";"68";"0";"63400";"18.7";"2.8";"1.1"
"Borough";"1";"Bronx";"1";"2015";"971";"0";"155";"0";"61";"0";"61700";"15.7";"2.5";"1"
"Borough";"1";"Bronx";"1";"2016";"884";"0";"162";"0";"71";"0";"59000";"15";"2.7";"1.2"
"Borough";"2";"Brooklyn";"2";"2005";"15015";"0";"1301";"0";"448";"0";"106800";"140.6";"12.2";"4.2"
"Borough";"2";"Brooklyn";"2";"2006";"14199";"0";"1230";"0";"412";"0";"103800";"136.9";"11.9";"4"
"Borough";"2";"Brooklyn";"2";"2007";"12622";"0";"1002";"0";"325";"0";"104500";"120.7";"9.6";"3.1"
